categoria,codigo,descricao,unidade_medida,preco_unit,fornecedor,fonte
HIGIENE,HIG-001,Algodão bola 100g,UN,7.92,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-002,Termômetro branco,UN,19.40,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-003,Colônia infantil 750ml,UN,53.01,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-004,"Compressa estéril 7,5x7,5cm",PCT,2.98,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-005,Copo infantil com tampa e alça,UN,19.20,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-006,Creme para assaduras 45g,UN,21.18,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-007,Creme para pentear infantil 1kg,UN,44.62,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-008,Creme para pentear infantil 200ml,UN,13.77,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-009,Curativo transparente c/40,CX,20.38,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-010,Escova de dente infantil,UN,4.50,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-011,Esparadrapo impermeável 12mm x 3m,UN,6.51,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-012,Fralda descartável XG,PCT,60.99,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-013,Fralda descartável XXG,PCT,60.99,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-014,Lenço umedecido refil 400un,RF,18.06,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-015,Loção hidratante infantil 200ml,UN,12.38,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-016,Óleo corporal baby 100ml,UN,15.75,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-017,Sabonete líquido infantil 500ml,UN,29.72,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-018,Xuxa / liguinha colorida pacote,PCT,13.00,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-019,Xuxa rabicó colorida pacote,PCT,7.00,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-020,Shampoo infantil 480ml,UN,15.30,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
HIGIENE,HIG-021,"Esparadrapo transparente 10cm x 4,5m",UN,69.90,PEDIDO HIGIENE ARARA 2026,catalogo_materiais_higiene_pedagogico.csv
