categoria,codigo,descricao,unidade_medida,preco_unit,fornecedor,fonte
PEDAGOGICO,144509,BALAO N 09 VERMELHO PCT COM 50 BALLOON TEECH,UN,17.9,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,4406,BALAO SAO ROQUE IMPERIAL N 09 AZUL COBALTO SAO ROQUE,UN,17.9,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,4420,BALAO SAO ROQUE IMPERIAL N 09 VERDE BAND COM 50UN SAO ROQUE,UN,17.9,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,4408,BALAO SAO ROQUE N° 09 BRANCO POLAR PCT C/50 UND SAO ROQUE,UN,17.9,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,210292,COLA ISOPOR / EVA TRANSPARENTE 90GR UND RADEX RADEX,UN,8.4,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,201248,EMBORRACHADO AMARELO 40 X 48 PCT .C. 10 UND LEONORA,UN,17.5,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,200870,EMBORRACHADO AZUL CLARO 40 CM X 48 CM PCT.C.10 UND LEONORA,UN,17.5,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,196601,EMBORRACHADO BRANCO 40CM X 48CM PCT .C.10 UND LEONORA,UN,17.5,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,201251,EMBORRACHADO CINZA 40 X 48 PCT. C. 10 UND BRW,UN,17.5,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,201249,EMBORRACHADO ROSA CLARO 40 X 48 PCT.C. 10 UND BRW,UN,17.5,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,188208,FITA CREPE 101 LA 48MM X 50M 3M UNIDADE 3M,UN,15.9,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,193637,FITA CREPE 18 X 50 MM 3M 3M,UN,5.9,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,24300,FITA PAPEL KRAFT 48 X 50 3777 SCOTCH 3M 3M,UN,75.9,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,24297,FITA PAPEL KRAFT SCOTCH 3M 18 X 50 3777 UNIDADE 3M,UN,28.99,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,50397,FITA PVC 45 X 45 5802 SCOTCH TRANSPARENTE UND 3M 3M,UN,5.99,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,193023,IMPRESSORA EPSON L3150 EPSON,UN,1690.0,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,29793,LASTEX ITALO 10M CORES ITALO,UN,1.2,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,188673,MALETA 205 NOVAONDA CRISTAL POLIBRAS POLIBRAS,UN,19.9,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,209840,MASSA DE MODELAR 12 CORES 135 GRAMAS MAKE + MAKE +,UN,4.5,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,36350,PALITO DE PICOLE PONTA REDONDA COM/100 UNI THEOTO,UN,5.5,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,36518,PAPEL CARTOLINA COMUM BRANCA PCT C/ 100 FLS JANDAIA,UN,89.9,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
PEDAGOGICO,50751,PAPEL CARTOLINA DUPLA FACE AZUL PCT 20 FLS REALCE,UN,26.99,BSB Papeis (Papelaria Impacto),Papelaria impacto.pdf
